"","Sample","Target","CopiesPeruL","DyeNames","PoissonConfMax","PoissonConfMin","Accepted.Droplets","Positives","Negatives","Site","Date","Location"
"946","NP-32ndSt-6-17-20-A","N1",0,"FAM",0.38464617729187,0,9165,0,9165,"NP-32ndSt",06/17/20,"Newport"
"947","NP-32ndSt-6-17-20-A","N2",0.256759166717529,"FAM/HEX",0.822597444057465,0.0388954170048237,9165,2,9163,"NP-32ndSt",06/17/20,"Newport"
"948","NP-32ndSt-6-17-20-A","RP",1.28435671329498,"HEX",2.26320695877075,0.639305889606476,9165,10,9155,"NP-32ndSt",06/17/20,"Newport"
"949","NP-Southshore-6-18-20-A","N1",0,"FAM",0.385740667581558,0,9139,0,9139,"NP-Southshore",06/18/20,"Newport"
"950","NP-Southshore-6-18-20-A","N2",0,"FAM/HEX",0.385740667581558,0,9139,0,9139,"NP-Southshore",06/18/20,"Newport"
"951","NP-Southshore-6-18-20-A","RP",1.03029727935791,"HEX",1.9298403263092,0.466355293989182,9139,8,9131,"NP-Southshore",06/18/20,"Newport"
"976","NP-42ndSt-6-19-20-A","N1",0.107063800096512,"FAM",0.511424601078033,0.00449648359790444,10989,1,10988,"NP-42ndSt",06/19/20,"Newport"
"977","NP-42ndSt-6-19-20-A","N2",0.214137360453606,"FAM/HEX",0.686019480228424,0.0324393026530743,10989,2,10987,"NP-42ndSt",06/19/20,"Newport"
"978","NP-42ndSt-6-19-20-A","RP",2.35765743255615,"HEX",3.4911208152771,1.50138854980469,10989,22,10967,"NP-42ndSt",06/19/20,"Newport"
"979","NP-42ndSt-6-19-20-A","N1",0,"FAM",0.323411971330643,0,10900,0,10900,"NP-42ndSt",06/19/20,"Newport"
"980","NP-42ndSt-6-19-20-A","N2",0,"FAM/HEX",0.323411971330643,0,10900,0,10900,"NP-42ndSt",06/19/20,"Newport"
"981","NP-42ndSt-6-19-20-A","RP",2.16064453125,"HEX",3.25750064849854,1.34334623813629,10900,20,10880,"NP-42ndSt",06/19/20,"Newport"
"1009","NP-68thSt-6-19-20-A","N1",0.131427198648453,"FAM",0.62782871723175,0.00551964668557048,8952,1,8951,"NP-68thSt",06/19/20,"Newport"
"1010","NP-68thSt-6-19-20-A","N2",0.131427198648453,"FAM/HEX",0.62782871723175,0.00551964668557048,8952,1,8951,"NP-68thSt",06/19/20,"Newport"
"1011","NP-68thSt-6-19-20-A","RP",0.920298874378204,"HEX",1.79288101196289,0.39090758562088,8952,7,8945,"NP-68thSt",06/19/20,"Newport"
"1013","NP-68thSt-6-19-20-A","N2",0,"FAM/HEX",0.28203284740448,0,12499,0,12499,"NP-68thSt",06/19/20,"Newport"
"1014","NP-68thSt-6-19-20-A","RP",1.41272556781769,"HEX",2.25928974151611,0.810037672519684,12499,15,12484,"NP-68thSt",06/19/20,"Newport"
"1048","NP-RunningSprings-6-18-20-A","N1",0.238538235425949,"FAM",0.764208734035492,0.0361354351043701,9865,2,9863,"NP-RunningSprings",06/18/20,"Newport"
"1049","NP-RunningSprings-6-18-20-A","N2",0,"FAM/HEX",0.357348322868347,0,9865,0,9865,"NP-RunningSprings",06/18/20,"Newport"
"1050","NP-RunningSprings-6-18-20-A","RP",2.02911829948425,"HEX",3.16025876998901,1.20714235305786,9865,17,9848,"NP-RunningSprings",06/18/20,"Newport"
"1075","NP-Hatfield-6-18-20-A","N1",0,"FAM",0.363352924585342,0,9702,0,9702,"NP-Hatfield",06/18/20,"Newport"
